1;50;Gen;Genesis;Rdz,Rodz,1 Moj
2;40;Exo;Exodus;Wj,Wyj,2 Moj
3;27;Lev;Leviticus;Kpł,Kap,3 Moj
4;36;Num;Numbers;Lb,4 Moj
5;34;Deu;Deuteronomy;Pwt,5 Moj
6;24;Jos;Joshua;Joz
7;21;Jdg;Judges;Sdz
8;4;Rth;Ruth;Rut,Rt
9;31;1Sa;1 Samuel;1 Sam,1 Sm
10;24;2Sa;2 Samuel;2 Sam,2 Sm
11;22;1Ki;1 Kings;1 Krl,1 Król
12;25;2Ki;2 Kings;2 Krl,2 Król
13;29;1Ch;1 Chronicles;1 Krn,1 Kron
14;36;2Ch;2 Chronicles;2 Krn,2 Kron
15;10;Ezr;Ezra;Ezd
16;13;Neh;Nehemiah;Heh,Ne
17;10;Est;Ester;Est
18;42;Job;Job;Hi,Hiob
19;150;Psa;Psalms;Ps
20;31;Pro;Proverbs;Prz
21;12;Ecc;Ecclesiastes;Koh,Kaz
22;8;Son;Song of Salomon;Pnp
23;66;Isa;Isaiah;Iz
24;52;Jer;Jeremiah;Jer,Jr
25;5;Lam;Lamentations;Lm,Trn
26;48;Eze;Ezekiel;Ez
27;12;Dan;Daniel;Dn,Dan
28;14;Hos;Hosea;Oz
29;3;Joe;Joel;Jo
30;9;Amo;Amos;Am
31;1;Oba;Obadiah;Ob
32;4;Jon;Jonah;Jon
33;7;Mic;Micah;Mi,Mich
34;3;Nah;Nahum;Na,Nah
35;3;Hab;Habakkuk;Ha,Hab
36;3;Zep;Zephaniah;So,Sof
37;3;Hag;Haggai;Ag
38;14;Zec;Zachariah;Za,Zach
39;4;Mal;Malachi;Ml,Mal
40;28;Mat;Matthew;Mt,Mat
41;16;Mar;Mark;Mr,Mar
42;24;Luk;Luke;Lk,Luk
43;21;Joh;John;J,Jan
44;28;Act;Acts;Dz,Dza
45;16;Rom;Romans;Rz,Rzym
46;16;1Co;1 Corinthians;1 Ko,1Kor
47;13;2Co;2 Corinthians;2 Ko,2Kor
48;6;Gal;Galatians;Ga,Gal
49;6;Eph;Ephesians;Ef
50;4;Phi;Philippians;Flp
51;4;Col;Colossians;Kol
52;5;1Th;1 Thessalonians;1 Tes
53;3;2Th;2 Thessalonians;2 Tes
54;6;1Ti;1 Timothy;1 Tm,1 Tym
55;4;2Ti;2 Timothy;2 Tm,2 Tym
56;3;Tit;Titus;Tyt,Tt
57;1;Phm;Philemon;Flm
58;13;Heb;Hebrews;Heb
59;5;Jas;James;Jk,Jak
60;5;1Pe;1 Peter;1 P,1 Pi
61;3;2Pe;2 Peter;2 P,2 Pi
62;5;1Jn;1 John;1 J,1 Jan
63;1;2Jn;2 John;2 J,2 Jan
64;1;3Jn;3 John;3 J,3 Jan
65;1;Jud;Jude;Jud
66;22;Rev;Revelation;Ap, Obj
